,Date,HC_trend,HC_yhat_lower,HC_yhat_upper,HC_trend_lower,HC_trend_upper,HC_additive_terms,HC_additive_terms_lower,HC_additive_terms_upper,HC_weekly,HC_weekly_lower,HC_weekly_upper,HC_yearly,HC_yearly_lower,HC_yearly_upper,HC_multiplicative_terms,HC_multiplicative_terms_lower,HC_multiplicative_terms_upper,HC_yhat,DET_trend,DET_yhat_lower,DET_yhat_upper,DET_trend_lower,DET_trend_upper,DET_additive_terms,DET_additive_terms_lower,DET_additive_terms_upper,DET_weekly,DET_weekly_lower,DET_weekly_upper,DET_yearly,DET_yearly_lower,DET_yearly_upper,DET_multiplicative_terms,DET_multiplicative_terms_lower,DET_multiplicative_terms_upper,DET_yhat,DETI_ds,DETI_trend,DETI_yhat_lower,DETI_yhat_upper,DETI_trend_lower,DETI_trend_upper,DETI_additive_terms,DETI_additive_terms_lower,DETI_additive_terms_upper,DETI_weekly,DETI_weekly_lower,DETI_weekly_upper,DETI_yearly,DETI_yearly_lower,DETI_yearly_upper,DETI_multiplicative_terms,DETI_multiplicative_terms_lower,DETI_multiplicative_terms_upper,DETI_yhat
0,2014-01-01,49073.91708081267,-10475.187887779972,45270.61445663895,49073.91708081267,49073.91708081267,-31161.343328567567,-31161.343328567567,-31161.343328567567,-9965.185437046255,-9965.185437046255,-9965.185437046255,-21196.15789152131,-21196.15789152131,-21196.15789152131,0.0,0.0,0.0,17912.573752245105,83393.17737110464,22942.112642154458,69039.21036187315,83393.17737110464,83393.17737110464,-36543.70280191769,-36543.70280191769,-36543.70280191769,-3622.2028148177674,-3622.2028148177674,-3622.2028148177674,-32921.49998709991,-32921.49998709991,-32921.49998709991,0.0,0.0,0.0,46849.474569186954,2014-01-01,5215.687536206805,-66.9860472565067,13033.531786011517,5215.687536206805,5215.687536206805,1139.7349222838284,1139.7349222838284,1139.7349222838284,538.2363197470847,538.2363197470847,538.2363197470847,601.4986025367436,601.4986025367436,601.4986025367436,0.0,0.0,0.0,6355.422458490633
1,2014-02-01,49013.52459475215,3975.8653432098963,58916.30103387698,49013.52459475215,49013.52459475215,-17454.78353609257,-17454.78353609257,-17454.78353609257,10607.244153686395,10607.244153686395,10607.244153686395,-28062.02768977897,-28062.02768977897,-28062.02768977897,0.0,0.0,0.0,31558.741058659576,83545.02147395702,34772.39865174729,81681.19124045651,83545.02147395702,83545.02147395702,-25863.610661917497,-25863.610661917497,-25863.610661917497,-524.0176765324527,-524.0176765324527,-524.0176765324527,-25339.59298538504,-25339.59298538504,-25339.59298538504,0.0,0.0,0.0,57681.410812039525,2014-02-01,5417.214470620382,-2090.6109761332805,11495.58145640038,5417.214470620382,5417.214470620382,-967.7646711934437,-967.7646711934437,-967.7646711934437,212.77268169708003,212.77268169708003,212.77268169708003,-1180.5373528905238,-1180.5373528905238,-1180.5373528905238,0.0,0.0,0.0,4449.449799426938
2,2014-03-01,48958.97654282652,-7002.885546200314,44336.506787853104,48958.97654282652,48958.97654282652,-29535.12023300333,-29535.12023300333,-29535.12023300333,10607.244153689728,10607.244153689728,10607.244153689728,-40142.36438669306,-40142.36438669306,-40142.36438669306,0.0,0.0,0.0,19423.856309823186,83682.1709862108,31568.725833769062,81653.72906483104,83682.1709862108,83682.1709862108,-28015.012702639553,-28015.012702639553,-28015.012702639553,-524.0176765376939,-524.0176765376939,-524.0176765376939,-27490.995026101864,-27490.995026101864,-27490.995026101864,0.0,0.0,0.0,55667.15828357125,2014-03-01,5599.238798477805,-3790.9003480981996,10108.596739546527,5599.238798477805,5599.238798477805,-2543.9035511384623,-2543.9035511384623,-2543.9035511384623,212.77268169668892,212.77268169668892,212.77268169668892,-2756.676232835151,-2756.676232835151,-2756.676232835151,0.0,0.0,0.0,3055.335247339343
3,2014-04-01,48898.58405657773,-14816.017392272059,39392.214778773945,48898.58405657773,48898.58405657773,-35955.84204380642,-35955.84204380642,-35955.84204380642,5470.407967164944,5470.407967164944,5470.407967164944,-41426.250010971366,-41426.250010971366,-41426.250010971366,0.0,0.0,0.0,12942.742012771312,83834.01509004894,37704.89361389107,89518.23850871834,83834.01509004894,83834.01509004894,-21232.195617860176,-21232.195617860176,-21232.195617860176,-7911.308334123731,-7911.308334123731,-7911.308334123731,-13320.887283736443,-13320.887283736443,-13320.887283736443,0.0,0.0,0.0,62601.81947218876,2014-04-01,5800.76573284207,-6705.587846519313,6217.107020377621,5800.76573284207,5800.76573284207,-6153.24227837359,-6153.24227837359,-6153.24227837359,-862.5944713707644,-862.5944713707644,-862.5944713707644,-5290.647807002825,-5290.647807002825,-5290.647807002825,0.0,0.0,0.0,-352.47654553152006
4,2014-05-01,48840.139715046644,-13681.787490403374,39536.26005706117,48840.139715046644,48840.139715046644,-35799.57433183643,-35799.57433183643,-35799.57433183643,-1639.3490903890806,-1639.3490903890806,-1639.3490903890806,-34160.22524144735,-34160.22524144735,-34160.22524144735,0.0,0.0,0.0,13040.56538321021,83980.96099698907,65531.02660227605,114233.36049298086,83980.96099698907,83980.96099698907,6009.005846698649,6009.005846698649,6009.005846698649,-6115.498818888049,-6115.498818888049,-6115.498818888049,12124.504665586697,12124.504665586697,12124.504665586697,0.0,0.0,0.0,89989.96684368773,2014-05-01,5995.791798355875,-8680.267723755964,4281.761366217539,5995.791798355875,5995.791798355875,-8530.960395854298,-8530.960395854298,-8530.960395854298,-1540.2975475399144,-1540.2975475399144,-1540.2975475399144,-6990.662848314383,-6990.662848314383,-6990.662848314383,0.0,0.0,0.0,-2535.168597498423
5,2014-06-01,48779.74722860588,62742.73399273004,118986.33197588884,48779.74722860588,48779.74722860588,42106.54911032176,42106.54911032176,42106.54911032176,212.51644211142522,212.51644211142522,212.51644211142522,41894.03266821034,41894.03266821034,41894.03266821034,0.0,0.0,0.0,90886.29633892764,84132.80510421317,49763.53593300131,98704.5525467159,84132.80510421317,84132.80510421317,-9514.421433385152,-9514.421433385152,-9514.421433385152,57.50870181841765,57.50870181841765,57.50870181841765,-9571.930135203573,-9571.930135203573,-9571.930135203573,0.0,0.0,0.0,74618.38367082801,2014-06-01,6197.318732078737,-6569.413124978346,6401.725775780427,6197.318732078737,6197.318732078737,-5953.5212290613335,-5953.5212290613335,-5953.5212290613335,218.61395133847364,218.61395133847364,218.61395133847364,-6172.135180399807,-6172.135180399807,-6172.135180399807,0.0,0.0,0.0,243.79750301740387
6,2014-07-01,48721.302886888996,93677.85032785132,150594.8379319263,48721.302886888996,48721.302886888996,73150.68940013005,73150.68940013005,73150.68940013005,5470.407967165155,5470.407967165155,5470.407967165155,67680.28143296488,67680.28143296488,67680.28143296488,0.0,0.0,0.0,121871.99228701905,84279.75101443005,37829.04130439301,84576.31401978503,84279.75101443005,84279.75101443005,-22436.532401499404,-22436.532401499404,-22436.532401499404,-7911.308334115795,-7911.308334115795,-7911.308334115795,-14525.22406738361,-14525.22406738361,-14525.22406738361,0.0,0.0,0.0,61843.21861293064,2014-07-01,6392.34479697183,-7384.888584086004,5955.649868447828,6392.34479697183,6392.34479697183,-7031.46779957327,-7031.46779957327,-7031.46779957327,-862.5944713704097,-862.5944713704097,-862.5944713704097,-6168.873328202862,-6168.873328202862,-6168.873328202862,0.0,0.0,0.0,-639.12300260144
7,2014-08-01,48660.91040022781,45885.733223645395,99447.33107090174,48660.91040022781,48660.91040022781,23951.80258754631,23951.80258754631,23951.80258754631,-6826.216798030102,-6826.216798030102,-6826.216798030102,30778.019385576412,30778.019385576412,30778.019385576412,0.0,0.0,0.0,72612.71298777412,84431.59512151047,86683.7778585565,135744.00985620572,84431.59512151047,84431.59512151047,25862.685202528268,25862.685202528268,25862.685202528268,4532.547295522521,4532.547295522521,4532.547295522521,21330.137907005745,21330.137907005745,21330.137907005745,0.0,0.0,0.0,110294.28032403874,2014-08-01,6593.871731307438,-821.5303929314914,12112.536515550248,6593.871731307438,6593.871731307438,-963.6607241034505,-963.6607241034505,-963.6607241034505,514.4175602741545,514.4175602741545,514.4175602741545,-1478.078284377605,-1478.078284377605,-1478.078284377605,0.0,0.0,0.0,5630.211007203987
8,2014-09-01,48600.517913566626,70529.4359497367,123099.57013205558,48600.517913566626,48600.517913566626,47265.14785412699,47265.14785412699,47265.14785412699,2140.582762601442,2140.582762601442,2140.582762601442,45124.56509152554,45124.56509152554,45124.56509152554,0.0,0.0,0.0,95865.66576769362,84583.43922859091,136606.503509144,185863.91572235923,84583.43922859091,84583.43922859091,77172.83835398538,77172.83835398538,77172.83835398538,13582.971647045206,13582.971647045206,13582.971647045206,63589.86670694017,63589.86670694017,63589.86670694017,0.0,0.0,0.0,161756.2775825763,2014-09-01,6795.398665643043,10391.953747276155,23134.133068593732,6795.398665643043,6795.398665643043,9915.481702701247,9915.481702701247,9915.481702701247,918.8515058517481,918.8515058517481,918.8515058517481,8996.630196849499,8996.630196849499,8996.630196849499,0.0,0.0,0.0,16710.88036834429
9,2014-10-01,48542.07357157939,52778.285613588094,105662.54041266777,48542.07357157939,48542.07357157939,31844.356860414515,31844.356860414515,31844.356860414515,-9965.185437045404,-9965.185437045404,-9965.185437045404,41809.54229745991,41809.54229745991,41809.54229745991,0.0,0.0,0.0,80386.43043199391,84730.38513441996,84437.0743749006,133250.74701855076,84730.38513441996,84730.38513441996,23458.98813939907,23458.98813939907,23458.98813939907,-3622.2028148155296,-3622.2028148155296,-3622.2028148155296,27081.190954214602,27081.190954214602,27081.190954214602,0.0,0.0,0.0,108189.37327381903,2014-10-01,6990.424731503472,11535.34971505242,24251.1154156211,6990.424731503472,6990.424731503472,11137.93583806004,11137.93583806004,11137.93583806004,538.2363197469293,538.2363197469293,538.2363197469293,10599.69951831311,10599.69951831311,10599.69951831311,0.0,0.0,0.0,18128.360569563512
